(55174,166.79999999999998)
(69281,260.8)
(92797,232.6)
(72942,46.400000000000006)
(21658,232.0)
(98898,111.39999999999999)
(88192,145.20000000000005)
(72418,233.20000000000005)
(59877,325.6)
(82938,162.40000000000003)
(28646,102.4)
(37002,135.4)
(13561,174.60000000000002)
(45287,235.00000000000003)
(2811,219.00000000000003)
(3322,227.8)
(51798,118.20000000000002)
(43821,14.6)
(81335,112.60000000000001)
(21139,290.8)
(94883,283.8)
(70119,244.8)
(63900,269.8)
(23788,271.6)
(95637,173.60000000000002)
(68808,129.20000000000002)
(40844,70.0)
(73011,157.20000000000002)
(48437,210.20000000000002)
(31202,222.80000000000004)
(90959,437.6)
(1579,127.4)
(28714,132.0)
(83340,158.20000000000002)
(97002,283.4)
(79251,177.2)
(98977,170.0)
(74120,171.6)
(62079,140.60000000000002)
(41951,42.6)
(86642,111.4)
(83807,168.8)
(83968,79.80000000000001)
(1223,71.2)
(43531,150.0)
(51240,179.20000000000002)
(37875,110.4)
(88501,267.2)
(32056,121.40000000000002)
(40756,130.0)
(68536,284.00000000000006)
(34869,186.0)
(50838,326.4)
(62475,184.40000000000003)
(34360,149.0)
(65579,321.40000000000003)
(79040,306.2)
(60138,135.60000000000002)
(71417,100.0)
(16313,430.40000000000003)
(34771,190.20000000000002)
(79291,87.2)
(28523,26.8)
(61968,55.0)
(26987,29.799999999999997)
(50948,187.2)
(78836,221.20000000000002)
(71736,208.60000000000002)
(67481,239.80000000000004)
(96757,251.2)
(1849,169.4)
(84084,82.00000000000001)
(40875,76.8)
(65584,113.80000000000001)
(96959,155.20000000000002)
(90061,117.60000000000001)
(38922,26.200000000000003)
(9188,97.0)
(41337,40.0)
(22990,225.0)
(79895,149.0)
(74908,118.80000000000001)
(56593,104.80000000000001)
(7801,57.800000000000004)
(72106,33.0)
(44712,146.8)
(58962,422.99999999999994)
(40392,290.8)
(23474,168.4)
(27360,46.2)
(27823,104.80000000000001)
(69034,138.20000000000002)
(43931,123.4)
(4813,266.6)
